text,coarse_label,fine_label,label
"@USER Liebe Corinna, wir würden dich gerne als Moderatorin für uns gewinnen! Wärst du begeisterbar?",OTHER,OTHER,0
"@USER Sie haben ja auch Recht. Unser Tweet war etwas missverständlich. Dass das BVerfG Sachleistungen nicht ausschließt, kritisieren wir.",OTHER,OTHER,0
@USER fröhlicher gruß aus der schönsten stadt der welt theo,OTHER,OTHER,0
@USER Amis hätten alles und jeden gewählt...nur Hillary wollten sie nicht und eine Fortsetzung von Obama-Politik erst recht nicht..!,OTHER,OTHER,0
@USER kein verläßlicher Verhandlungspartner. Nachkarteln nach den Sondierzngsgesprächen - schickt diese Stümper SPD in die Versenkung.,OFFENSE,INSULT,1
"@USER Ja, aber wo widersprechen die Zahlen denn denen, die im von uns verlinkten Artikel stehen? In unserem Tweet geht es rein um subs. Geschützte. 2017 ist der gesamte Familiennachzug im Vergleich zu 2016 - die Zahlen, die Hr. Brandner bemüht - übrigens leicht rückläufig gewesen.",OTHER,OTHER,0
@USER 33 bis 45 habe ich noch gar nicht gelebt und es geht mir am Arsch vorbei was in dieser Zeit geschehen ist. Ich lebe im heute und jetzt und nicht in der Vergangenheit.,OFFENSE,PROFANITY,1
@USER @USER Wieso? Was findest du da unklar?,OTHER,OTHER,0
@USER Euere AfD Hetze wirkt. Da könnt ihr stolz sein bei ARD-Fernsehen,OFFENSE,ABUSE,1
"Deutsche Medien, Halbwahrheiten und einseitige Betrachtung, wie bei allen vom Staat finanzierten ""billigen"" Propagandainstitutionen",OFFENSE,ABUSE,1
@USER @USER Er hat heute morgen auch Schäuble getroffen. Das ist einfach nur unfassbar,OTHER,OTHER,0
@USER Oman Ralle..dich mag ja immer noch keiner. Du willst das die Hetze gegen dich aufhört? |LBR| Geh in Rente und verzichte auf die 1/2deiner Pension,OFFENSE,INSULT,1
"Klausurtagung der CSU hat eher Fragezeichen vermehrt, ob Union die Kraft hat, die erforderlichen Veränderungen von Europa bis Digitalisierung, bei Arbeit und Rente, bei Bildung und Familie, bei Gesundheit und Wohnen, bei Pflege und Steuern, bei Integration etc. anzugehen.",OTHER,OTHER,0
"Den Türken ist die Souveränität der Niederlande egal. Sie wollen dort |LBR| bestimmen. So geht das nicht. Ausweisen, wem das nicht passt.",OTHER,OTHER,0
"@USER @USER Auweia. Es geht nicht darum, dass man uns ""toll"" finden muss. Aber man könnte zumindest versuchen zu verstehen, was wir machen und wie wir das finanzieren, bevor man einfach falsche Schlussfolgerungen zieht und diese schamlos verbreitet. Schafft aber scheinbar nicht jeder.",OTHER,OTHER,0
"@USER @USER Na, geht doch. Jetzt muss noch @USER in einer Nachtsitzung Angela Merkel die Obergrenze abhandeln, dann kann Schwarz-Grün-Dunkelrot noch vor Weihnachten die Amtseide ablegen.",OTHER,OTHER,0
"Für mich ist der morgige Tag ein Tag der ""Größten Deutschen Schweinerei"" seit 1945, eine riesen Mogelpackung bekloppter Politiker",OFFENSE,ABUSE,1
@USER Das lassen die nicht zu....und wenn sie gegen ihren eigenen Willen festgehalten werden... |LBR| Es ist leicht nach einzureisen...aber raus?,OTHER,OTHER,0
"@USER Ich finde deutsche haben noch eine Chance verdient...auch wenn ich ein Teil meiner Landsleute nicht besonders mag, aber sie sollten nochmals wählen dürfen...!",OTHER,OTHER,0
@USER @USER Das sitzt die doch aus - Teflon-Merkel ist ihr Spitzname in der Schweiz - an der prallt alles ab.,OTHER,OTHER,0
@USER @USER @USER Was laberst du jetzt von.inzucht schau mal an was dein schönes multikulti mit Deutschland gemacht hat,OTHER,OTHER,0
@USER Hast Du schon das Initiationritual hinter Dir?,OTHER,OTHER,0
Diese Woche hatten wir die Gelegenheit uns mit 4 kurdischen Bürgermeister*innen der HDP zu vernetzen! @USER @USER,OTHER,OTHER,0
"@USER Danke für die schnelle Info , aber eure Unterschlagungen von wichtigen Nachrichten in der Tagesschau machen euch zum Helfer von Terroristen in Deutschland.Bürger in Sicherheit wiegen die nicht vorhanden ist!",OTHER,OTHER,0
Du sollst keinen anderen Gott haben neben mir. Mal schauen wann Gottes Worte als Rassismus dargestellt werden.,OTHER,OTHER,0
@USER Ich kenne noch einige Namen unter den SPDler die ebenfalls zu Grabe getragen müssten-sollten-werden....,OFFENSE,ABUSE,1
Wir geben unsere Identität nicht auf. Bedenke das Ende bei all dieser Beliebigkeit. islamfeiertag,OTHER,OTHER,0
@USER @USER Auch in Deutschland hungern Kinder.,OTHER,OTHER,0
"@USER Und hätten wir regiert und alle Zusagen gebrochen, dann wäre hier heute von Umfallen und Postengeilheit die Rede gewesen! Beliebigkeit CL",OTHER,OTHER,0
"In Abwandlung der Kanzler Worte sage ich: |LBR| CDU SPD-folgt diesen Leuten nicht, sie regieren schon immer und die Armutschere ist größer denn je",OTHER,OTHER,0
"@USER Ach Gott mehr nicht,was gedenkt man dagegen zutun,nach dem GG dürfen nur Deutsche Staatsbürger protestieren .Was hier geschehen ist ,ist ein Aufstand von Radikalen Moslems ,da sage ich nur einsammeln und Heimschicken!",OFFENSE,ABUSE,1
Die Zahl arabischer Rekruten in der israelischen Armee steigt rasant. Die @USER hat eine Dokumentation über sie gedreht. Israel @USER,OTHER,OTHER,0
"@USER Kein Kohleausstieg,wenn dadurch unsichere Atomenergie aus dem Ausland importiert werden muss.Unsere sicheren Atomkraftwerke werden abgeschaltet und unsichere im Ausland gebaut.Auch die Winkrafträder sind nur eine Verschandelung der Natur.Das Ausland lacht.",OTHER,OTHER,0
@USER Die Deutschen checken es einfach nicht,OTHER,OTHER,0
@USER @USER So ist es....wir haben Maria vergessen...als hätte sie nie existiert....schämt euch...!,OTHER,OTHER,0
"@USER @USER Dann können wir vielleicht eine konstruktive Diskussion führen. Wenn Sie mit Unterstellungen arbeiten, dann wird das nicht möglich sein. Wir laden Sie zu einem virtuellen türkischen Tee ein.",OTHER,OTHER,0
"@USER Höchste Zeit und in gemeinsamer internationaler Kraftanstrengung, sowie gebotener Härte.",OTHER,OTHER,0
@USER @USER Die Deppen der Nation....Österreicher lachen am lautesten....,OTHER,OTHER,0
"@USER Ich lernte im Jurastud. noch,dass d. Täter nicht therapierbar sind,was d. Praxis meistens beweist. Ewig aus dem Verkehr ziehen",OTHER,OTHER,0
@USER @USER @USER @USER @USER Hubertus....was hab ich mit Adolf zu tun? |LBR| Und ich erstarre bei beim Wort Nazi auch nicht in Schuldgefühlen wie der Rest nur weil ichliebe,OFFENSE,ABUSE,1
@USER @USER Das ist in Deutschland nicht strafbar...nur wenn deutsche Diebstähle begehen dann ist es anders...,OTHER,OTHER,0
"@USER Wir haben keine Meinungsfreiheit ,von wem soll die auch kommen wenn man eine in der DDR ausgebildete Bundeskanzlerin hat .Mielke hätte sich totgelacht.Ich glaube am Grab hört man in",OFFENSE,ABUSE,1
@USER @USER Wir sind nunmal Weltmeister...in Aufarbeitung....aber endlose Pfeifen in Vorkehrungen. |LBR| Ich halte alle Politiker für Helfershelfer....sie gehören auf die Anklagebank und nicht in überbezahlten Ruhestand...! |LBR| @USER .....,OTHER,OTHER,0
@USER @USER ich glaube wirklich das ein mitgliederentscheid die partei eint,OTHER,OTHER,0
"@USER Doch nicht nur die Planeten! Es geht um das Leben, das Universum und den ganzen Rest. |LBR| Ich muss jetzt los, die Milchstraße retten.",OTHER,OTHER,0
Infotweet: Antifaschisten sind alle vernachlässigte Scheidungskinder,OFFENSE,INSULT,1
Was machte Luther eigentlich an einem Brückentag? Und was würde er heute über die Türken und die Juden sagen? |LBR| Reformation_neu_denken!,OTHER,OTHER,0
@USER @USER Und die Linken Anarchisten üben in Hamburg,OFFENSE,ABUSE,1
Zur Eröffnung der Israelpedia sind unsere Gedanken bei den Menschen in Israel |LBR| DIG Frankfurt Israel,OTHER,OTHER,0
@USER Das ist einfach so...aber noch lange kein Grund Deutschland mit fremden Männern zu fluten....,OFFENSE,ABUSE,1
@USER Juden und Christen werden als Schweine und Affen bezeichnet.. Aber das steht ja nur im Koran. Die Suren erspare ich mir jetzt. Lesen.....,OFFENSE,ABUSE,1
@USER Kann man diesen ganzen Scheiß noch glauben..?,OFFENSE,PROFANITY,1
@USER Bla bla bla! Lügenpresse verkauft uns mal wider für Dumm! Alles gespieltes Theater!!,OFFENSE,ABUSE,1
@USER Das kann doch nur ein Fake sein !!! Die sind sowenig DEUTSCH wie Erdogan ! Nu gehts wirklich los ! Auch im TV der MSM nur noch NICHTDEUTSCHE !,OFFENSE,ABUSE,1
"Afghanistan ist ein sicheres Land, wenn Deutschland, England u. |LBR| Frankreich als sicher bezeichnet werden. Leider gab es Anschläge.",OTHER,OTHER,0
"@USER Sind selbst Schuld die Dummen Girlies die unbedingt Modell werden wollen,",OFFENSE,INSULT,1
@USER @USER Spätestens seit Blümchen wissen wir welche Waschlappen in der Regierung sitzen....,OFFENSE,INSULT,1
ja das ist was Kinder so aufem kindergartenspielplatz so anstellen und daraus ist der glaube der Moslems endstanden.,OFFENSE,ABUSE,1
"7 Tage Ferienfreizeit mit polnischen Kindern u. Jugendlichen. Sie erinnerten mich daran, was es heißt, stolz auf sein Land zu sein",OTHER,OTHER,0
"Wir sind entsetzt von der Vielzahl menschenverachtender, stigmatisierender und rassistischer Kommentare unter unserer Berichterstattung zur heutigen Kundgebung. Strafrechtlich potentiell relevante Äußerungen werden dokumentiert und ggf. zur Anzeige gebracht. berlin jerusalem",OTHER,OTHER,0
@USER Hat die jemand dafür angezeigt?,OTHER,OTHER,0
"Merkel: ""Die Bürger haben keine Lust auf Zuständigkeitsdebatten"" ??? Eben ein verlogenes Miststück mit ausreichender Denunziantenerfahrung",OFFENSE,INSULT,1
"@USER @USER Welche Warnung? Ich lese es als Unterstützung unseres Kurses! Es gibt keinen Satz im Text, der diesem widerspricht. CL",OTHER,OTHER,0
@USER Abschieben es sind doch nur Moslems!!,OFFENSE,ABUSE,1
Jeder dem Deutschland am Herzen liegt soll AFD wählen,OTHER,OTHER,0
"@USER Jeder der hier die Polizei schlecht macht, oder verbal angreift, sollte wissen das sie jedesmal für eine falsche Toleranz Politik unserer Regierung den Kopf hin halten. Jeder Polizist möchte nach getaner Arbeit auch gerne unversehrt zu seiner Familie nach hause gehen können.",OTHER,OTHER,0
"Änderungsantrag, dass §83 SGO komplett gestrichen wird, wird abgestimmt &amp; abgelehnt",OTHER,OTHER,0
"@USER Die Propaganda wirkt leider bei den Deutschen perfekt, da sie glauben der Onkel von der Tagesschau bringt echte NACHrichten",OTHER,OTHER,0
@USER Bayern sollte auch aus Deutschland austreten,OTHER,OTHER,0
"@USER @USER @USER McCain erwies sich bisher generell als mit Haut überzogener, verlogener politischer Dreckshaufen",OFFENSE,INSULT,1
Was heißt hier Flüchtlingseinrichtungen? Die meisten der jungen |LBR| Männer sind keine Flüchtlinge. Sie sind rücksichtslose Invasoren.,OFFENSE,ABUSE,1
@USER Von mir aus gibt es dieses intersexuell aber die eigentlichen Geschlechter sind männlein und weiblein,OFFENSE,ABUSE,1
"@USER zu einem anderen Ergebnis kam. Vielleicht erschien ihr (der Community) der Kontext klarer, keine Ahnung.",OTHER,OTHER,0
Auch durch eure Zensur in Deutschland werdet ihr nichts ändern. Wie sehr in Deutschland zensiert wird kann ich hier im Ausland sehr gut erkennen. |LBR| illner,OTHER,OTHER,0
"Merkel: ""Ich sehe nicht, was wir anders machen sollten"" &gt; Wie HOHL muss man eigentlich sein, um NICHTS zu begreifen Frau Murksel",OFFENSE,INSULT,1
@USER @USER Ich spreche ausschließlich von mir,OTHER,OTHER,0
@USER So früh waren die schon auf?! Was haben die vor? Sorgen!!!,OTHER,OTHER,0
"@USER @USER @USER Dann solltet ihr Grünes Pack, eure Bodygards verdoppeln!",OFFENSE,ABUSE,1
"Gestern wieder bis kurz vor Mitternacht im Konrad-Adenauer-Haus der CDU mit der Union. |LBR| Heute steht der letzte Tag der Sondierungsgespräche im heimischen Willy-Brandt-Haus bevor. |LBR| Die Intensität nimmt zu und seit Günter Grass wissen wir, dass der Fortschritt eine Schnecke ist.",OTHER,OTHER,0
@USER @USER Im Harz schmeckt es Weltklasse. Da fülle ich mir immer hunderte Flaschen ab.,OTHER,OTHER,0
Bayern = Sicherheitsland Nummer 1 - Sicherheit durch Stärke. TVDuell,OTHER,OTHER,0
"Ich bin Katholik und ich bin mir felsenfest sicher, dass dies nicht die Meinung der überwältigenden Mehrheit der Christen in Deutschland ist",OTHER,OTHER,0
@USER @USER @USER Hab ich auch nicht verstanden :-),OTHER,OTHER,0
Ich gratuliere Bundestagspräsident Schäuble zur Wahl. Er tritt das politische Erbe von Norbert Lammert + ein hochwichtiges Amt an.,OTHER,OTHER,0
